a b
9 0.0059
11 0.0064
13 0.0064
15 0.0066
17 0.0065
19 0.007
21 0.0075
23 0.0084
25 0.0086
27 0.0086
29 0.0086
31 0.0091
33 0.009
35 0.0095
37 0.0092
39 0.0097
41 0.0094
43 0.0098
45 0.0102
47 0.0099
49 0.0103
51 0.0106
53 0.0101
55 0.0105
57 0.0108
59 0.011
61 0.0105
63 0.0108
65 0.0111
67 0.0113
69 0.0107
71 0.011
