a b
9 0.0086
11 0.0077
13 0.0071
15 0.0066
17 0.0063
19 0.0059
21 0.0055
23 0.0053
25 0.005
27 0.0048
29 0.0046
31 0.0044
33 0.0042
35 0.0041
37 0.004
39 0.0039
41 0.0037
43 0.0035
45 0.0035
47 0.0034
49 0.0034
51 0.0033
53 0.0032
55 0.0031
57 0.003
59 0.0028
61 0.0028
63 0.0028
65 0.0028
67 0.0028
69 0.0027
71 0.0027
