a b
7 0.2861
9 0.033
11 0.0294
13 0.027
15 0.0248
17 0.0233
19 0.0218
21 0.0202
23 0.0193
25 0.0181
27 0.0171
29 0.0165
31 0.0157
33 0.0146
35 0.0143
37 0.0139
39 0.0133
41 0.0127
43 0.012
45 0.0118
47 0.0115
49 0.0112
51 0.0109
53 0.0105
55 0.0101
57 0.0097
59 0.0092
61 0.0091
63 0.009
65 0.0088
67 0.0086
69 0.0085
71 0.0083
