a b
0.1 48.593004927699866
2.3 12.624203599329482
4.5 11.326569985354732
6.7 10.660064288716567
9.0 10.361774831533042
11.2 10.200697524266905
13.4 10.056977459258727
15.6 9.940790098930734
17.8 9.908975307577721
20.0 9.837442318311474
22.2 9.733717511501013
24.4 9.550880545764858
26.7 10.760059052258466
28.9 9.273288865133326
31.1 10.096527410628003
33.3 10.265838922610401
35.5 9.13113838404921
37.7 8.958706436724995
39.9 9.336417620822965
42.1 10.069592679653702
44.4 10.480029560026212
46.6 10.276154164359356
48.8 9.782021016726457
51.0 9.46783309100429
