a b 
7 0.0045
9 0.0045
11 0.0059
13 0.0059
15 0.0056
17 0.0055
19 0.0054
21 0.0054
23 0.0055
25 0.0054
27 0.0043
29 0.0043
31 0.0042
33 0.0042
35 0.0041
37 0.0042
39 0.0041
41 0.0041
43 0.0041
45 0.004
47 0.0041
49 0.004
51 0.0039
53 0.004
55 0.004
57 0.0039
59 0.0038
61 0.0039
63 0.0039
65 0.0038
67 0.0038
69 0.0039
71 0.0038
