a b 
7 0.035
9 0.0324
11 0.0151
13 0.0234
15 0.0233
17 0.0208
19 0.0208
21 0.0197
23 0.0189
25 0.0182
27 0.0176
29 0.0169
31 0.0169
33 0.0168
35 0.0165
37 0.0164
39 0.0154
41 0.0155
43 0.0153
45 0.0151
47 0.014
49 0.0139
51 0.0139
53 0.0139
55 0.0138
57 0.0136
59 0.0127
61 0.0126
63 0.0125
65 0.0124
67 0.0124
69 0.0123
71 0.0123
