a b 
7 0.0015
9 0.0013
11 0.0012
13 0.0012
15 0.0011
17 0.0011
19 0.0014
21 0.0015
23 0.0015
25 0.0014
27 0.0012
29 0.0012
31 0.0012
33 0.001
35 0.0011
37 0.001
39 0.0009
41 0.001
43 0.0008
45 0.0009
47 0.0008
49 0.0009
51 0.0008
53 0.0008
55 0.0009
57 0.0008
59 0.0007
61 0.0009
63 0.0008
65 0.0007
67 0.0006
69 0.0008
71 0.0007
