a b 
7 0.0041
9 0.004
11 0.0041
13 0.004
15 0.0053
17 0.0054
19 0.0057
21 0.006
23 0.0054
25 0.0048
27 0.0052
29 0.0049
31 0.0046
33 0.005
35 0.0047
37 0.0045
39 0.0049
41 0.0047
43 0.0044
45 0.0042
47 0.004
49 0.0046
51 0.0044
53 0.0042
55 0.004
57 0.0038
59 0.0041
61 0.0039
63 0.0038
65 0.0036
67 0.0035
69 0.0033
71 0.0032
