a b
7 0.0011
9 0.0011
11 0.0011
13 0.0019
15 0.0018
17 0.0017
19 0.0017
21 0.0011
23 0.0011
25 0.0011
27 0.0011
29 0.0011
31 0.0011
33 0.0011
35 0.001
37 0.0011
39 0.001
41 0.001
43 0.001
45 0.001
47 0.001
49 0.001
51 0.001
53 0.001
55 0.001
57 0.001
59 0.001
61 0.001
63 0.001
65 0.001
67 0.001
69 0.001
71 0.001
