a b
7 0.001
9 0.001
11 0.001
13 0.001
15 0.001
17 0.001
19 0.0018
21 0.002
23 0.0017
25 0.0014
27 0.0015
29 0.0015
31 0.0015
33 0.0015
35 0.0015
37 0.0015
39 0.0011
41 0.001
43 0.001
45 0.0009
47 0.0009
49 0.001
51 0.001
53 0.0009
55 0.0009
57 0.0008
59 0.001
61 0.001
63 0.001
65 0.0009
67 0.0009
69 0.0008
71 0.0008
