a b c
37.7 1.2 0.17939078970053768
37.7 1.3 0.16491542749526603
37.7 1.41 0.15770116485080196
37.7 1.52 0.15610778754142796
37.7 1.63 0.15809148802875012
37.7 1.74 0.1610159841997227
37.7 1.85 0.1620403716113861
37.7 1.96 0.16025459771527953
37.7 2.07 0.15724953996633448
37.7 2.17 0.15459199073128116
37.7 2.28 0.15215088758015402
37.7 2.39 0.14963883413938267
37.7 2.5 0.14772348269369875
 
39.9 0.0 0.019607843137254898
39.9 0.11 0.03497997834472714
39.9 0.22 0.058947798461574406
39.9 0.33 0.09280234611790426
39.9 0.43 0.13504897807187988
39.9 0.54 0.17996325154613968
39.9 0.65 0.218042089527266
39.9 0.76 0.2395272044211856
39.9 0.87 0.23983166160337616
39.9 0.98 0.22296623934496385
39.9 1.09 0.1992935448950336
39.9 1.2 0.17885229776181516
39.9 1.3 0.16622563314980376
39.9 1.41 0.1610610658444297
39.9 1.52 0.16132264925919504
39.9 1.63 0.16438126998136898
39.9 1.74 0.16676809477573692
39.9 1.85 0.1661125088834022
39.9 1.96 0.1632350195479467
39.9 2.07 0.16025957831030968
39.9 2.17 0.15760214384572618
39.9 2.28 0.15484197837098101
39.9 2.39 0.15262264070058373
39.9 2.5 0.15129375298579134
 
42.1 0.0 0.019607843137254898
42.1 0.11 0.03570519689909161
42.1 0.22 0.06122058646884235
42.1 0.33 0.09756366575324785
42.1 0.43 0.14284997016904463
42.1 0.54 0.19022593423345596
42.1 0.65 0.22868971641985844
42.1 0.76 0.24771264012351707
42.1 0.87 0.24371796032874238
42.1 0.98 0.22312855231018697
42.1 1.09 0.1981985745154673
42.1 1.2 0.17881650495011575
42.1 1.3 0.16819250288923787
42.1 1.41 0.1650951687168892
42.1 1.52 0.16704278306138978
42.1 1.63 0.17046735678805416
42.1 1.74 0.17153329036923962
42.1 1.85 0.1693562342545878
42.1 1.96 0.16613626014039937
42.1 2.07 0.1632313593495052
42.1 2.17 0.1602478406307235
42.1 2.28 0.1576176063245849
42.1 2.39 0.15604396367171913
42.1 2.5 0.15458640465559012
 
44.4 0.0 0.019607843137254898
44.4 0.11 0.03645608667482699
44.4 0.22 0.06354138964895886
44.4 0.33 0.10242717782363142
44.4 0.43 0.15077185325178227
44.4 0.54 0.20045497534422532
44.4 0.65 0.2388993782319113
44.4 0.76 0.2549914948840142
44.4 0.87 0.2465811965627158
44.4 0.98 0.2227343325277692
44.4 1.09 0.19724322716002055
44.4 1.2 0.1793245045499691
44.4 1.3 0.1707912345578028
44.4 1.41 0.16974951941621796
44.4 1.52 0.17300130365787106
44.4 1.63 0.17595319177476487
44.4 1.74 0.1753490439832246
44.4 1.85 0.17225312754391364
44.4 1.96 0.16905607774066528
44.4 2.07 0.16590052205871683
44.4 2.17 0.1628096426493506
44.4 2.28 0.16082081419459476
44.4 2.39 0.15935943180314502
44.4 2.5 0.15732464689768824
 
46.6 0.0 0.019607843137254898
46.6 0.11 0.03721335259531711
46.6 0.22 0.06590881327318157
46.6 0.33 0.10739315295604768
46.6 0.43 0.1587938982825433
46.6 0.54 0.21058963143217715
46.6 0.65 0.248588613645699
46.6 0.76 0.2613439717973715
46.6 0.87 0.24855678743862122
46.6 0.98 0.2220141329841605
46.6 1.09 0.19656917508930277
46.6 1.2 0.18036072212993462
46.6 1.3 0.17398578501784942
46.6 1.41 0.17493020109489893
46.6 1.52 0.1788744590978872
46.6 1.63 0.1806061649040237
46.6 1.74 0.17851296021184992
46.6 1.85 0.17511066016362245
46.6 1.96 0.17179567384501002
46.6 2.07 0.16831754258673104
46.6 2.17 0.16570995309783512
46.6 2.28 0.1641401116803953
46.6 2.39 0.16214648116287964
46.6 2.5 0.16005589128426906
 
48.8 0.0 0.019607843137254898
48.8 0.11 0.037926572545658746
48.8 0.22 0.06824457086982463
48.8 0.33 0.11237142200073706
48.8 0.43 0.16684789457222757
48.8 0.54 0.22063086342811272
48.8 0.65 0.2578611003697438
48.8 0.76 0.2669662212342431
48.8 0.87 0.2498511429741047
48.8 0.98 0.22107004304738462
48.8 1.09 0.19615450705616472
48.8 1.2 0.1819295270347929
48.8 1.3 0.17781665699558197
48.8 1.41 0.18044709653614502
48.8 1.52 0.1842969890081361
48.8 1.63 0.1844721667627485
48.8 1.74 0.18140829964775856
48.8 1.85 0.17788284439563462
48.8 1.96 0.1742263156525376
48.8 2.07 0.17088105447144158
48.8 2.17 0.16890217501217558
48.8 2.28 0.16705894275616842
48.8 2.39 0.16476300575193015
48.8 2.5 0.16302637397103495
 
51.0 0.0 0.019607843137254898
51.0 0.11 0.03867365325091636
51.0 0.22 0.07068005940863493
51.0 0.33 0.11758282849718844
51.0 0.43 0.17521226247652738
51.0 0.54 0.23077519056681095
51.0 0.65 0.2666736234344427
51.0 0.76 0.27159911947568127
51.0 0.87 0.25027291638341503
51.0 0.98 0.22000006353691462
51.0 1.09 0.19623771777864932
51.0 1.2 0.18408916749735924
51.0 1.3 0.18210965959989073
51.0 1.41 0.18604807264007814
51.0 1.52 0.18916372081563387
51.0 1.63 0.1877205536791232
51.0 1.74 0.18416363862652363
51.0 1.85 0.18048958196053733
51.0 1.96 0.17652822516387884
51.0 2.07 0.17374604147267986
51.0 2.17 0.17200429508972181
51.0 2.28 0.1696235172489397
51.0 2.39 0.16756147607345093
51.0 2.5 0.16582638359491053
 
