a b c
9.0 1.74 0.09023771401307372
9.0 1.85 0.08943528850921312
9.0 1.96 0.08882734788484807
9.0 2.07 0.08830418945891332
9.0 2.17 0.08774320032928555
9.0 2.28 0.0870531271632143
9.0 2.39 0.08619914487660013
9.0 2.5 0.08520670674230807
 
11.2 0.0 0.019607843137254898
11.2 0.11 0.02871060619910284
11.2 0.22 0.03973413661895439
11.2 0.33 0.052122874141813706
11.2 0.43 0.0650074196437085
11.2 0.54 0.07733658230397382
11.2 0.65 0.08807828233595379
11.2 0.76 0.09643725217409162
11.2 0.87 0.10202452910894866
11.2 0.98 0.104925392822677
11.2 1.09 0.10564215322582904
11.2 1.2 0.10492718771576506
11.2 1.3 0.10356470384136872
11.2 1.41 0.10217269584480512
11.2 1.52 0.10108137556987405
11.2 1.63 0.10032674137631926
11.2 1.74 0.09973806825946373
11.2 1.85 0.09907973661424795
11.2 1.96 0.09818174233406743
11.2 2.07 0.09701295455982852
11.2 2.17 0.09567229084895817
11.2 2.28 0.09432653467202508
11.2 2.39 0.09312138814250076
11.2 2.5 0.09211673586870206
 
13.4 0.0 0.019607843137254898
13.4 0.11 0.03052453525260546
13.4 0.22 0.04419830752357326
13.4 0.33 0.059753545383672585
13.4 0.43 0.0757351754930935
13.4 0.54 0.09040786885379513
13.4 0.65 0.10220981716598032
13.4 0.76 0.1101982681962218
13.4 0.87 0.11430636842322416
13.4 0.98 0.11529411452240913
13.4 1.09 0.11440315707220704
13.4 1.2 0.11287667898657502
13.4 1.3 0.11154406614606158
13.4 1.41 0.11065698037492815
13.4 1.52 0.11000506725075772
13.4 1.63 0.10921204753929535
13.4 1.74 0.1080356466259104
13.4 1.85 0.10650432172109549
13.4 1.96 0.10486086830248963
13.4 2.07 0.10337256325932104
13.4 2.17 0.10216359695579239
13.4 2.28 0.1011614873134875
13.4 2.39 0.10018339801163086
13.4 2.5 0.09907947967639816
 
15.6 0.0 0.019607843137254898
15.6 0.11 0.03226485568648686
15.6 0.22 0.04866518880007326
15.6 0.33 0.06751287014737674
15.6 0.43 0.08655071949730263
15.6 0.54 0.10315878729228448
15.6 0.65 0.11524465683274066
15.6 0.76 0.12200829494742998
15.6 0.87 0.12416695526998779
15.6 0.98 0.1234851074839747
15.6 1.09 0.12187296556051157
15.6 1.2 0.12055345990196929
15.6 1.3 0.11975554384856102
15.6 1.41 0.11902831249670234
15.6 1.52 0.11786190371979666
15.6 1.63 0.11615161915021172
15.6 1.74 0.11422301259028803
15.6 1.85 0.1124995214005185
15.6 1.96 0.11114955800103297
15.6 2.07 0.11000570604339725
15.6 2.17 0.10877753758722722
15.6 2.28 0.10733037853892818
15.6 2.39 0.10578060642676247
15.6 2.5 0.10435242361706304
 
17.8 0.0 0.019607843137254898
17.8 0.11 0.03407326904517817
17.8 0.22 0.053354907505342844
17.8 0.33 0.07560462421677772
17.8 0.43 0.09751720434623694
17.8 0.54 0.11544180287548633
17.8 0.65 0.12693689256339732
17.8 0.76 0.1318455988907937
17.8 0.87 0.1321430375519452
17.8 0.98 0.1306048284420001
17.8 1.09 0.12921755742049437
17.8 1.2 0.12842053736270287
17.8 1.3 0.1275776927422495
17.8 1.41 0.12606065315526555
17.8 1.52 0.12394658337895505
17.8 1.63 0.12183234300040159
17.8 1.74 0.12015879419576156
17.8 1.85 0.1188196399563025
17.8 1.96 0.11740179802576217
17.8 2.07 0.11569678346224824
17.8 2.17 0.1138965974088291
17.8 2.28 0.11231538267995614
17.8 2.39 0.11101890238111867
17.8 2.5 0.10979046122118058
 
20.0 0.0 0.019607843137254898
20.0 0.11 0.03583174255143074
20.0 0.22 0.05807888586794877
20.0 0.33 0.08379852651961688
20.0 0.43 0.10837273429663423
20.0 0.54 0.12701740333662775
20.0 0.65 0.1372492871160027
20.0 0.76 0.14011602505789775
20.0 0.87 0.1391033046373084
20.0 0.98 0.13754042095213131
20.0 1.09 0.13666518242089162
20.0 1.2 0.13581474491325954
20.0 1.3 0.13411328910780343
20.0 1.41 0.13170561404419487
20.0 1.52 0.12943141623163276
20.0 1.63 0.1277240312069139
20.0 1.74 0.12621775843071137
20.0 1.85 0.12440685947618209
20.0 1.96 0.12234072989516886
20.0 2.07 0.1204615291613887
20.0 2.17 0.1189502692207533
20.0 2.28 0.11753104108623533
20.0 2.39 0.11592510538589965
20.0 2.5 0.11423717081860264
 
22.2 0.0 0.019607843137254898
22.2 0.11 0.03765525925047052
22.2 0.22 0.06300238203547265
22.2 0.33 0.09222375983240946
22.2 0.43 0.11911416577655784
22.2 0.54 0.13777440639771085
22.2 0.65 0.146196389013506
22.2 0.76 0.1472048600586551
22.2 0.87 0.14566404647642978
22.2 0.98 0.1445750666408891
22.2 1.09 0.14380970837903975
22.2 1.2 0.1421307171692224
22.2 1.3 0.13950720441713732
22.2 1.41 0.13701487964023398
22.2 1.52 0.13518185518584386
22.2 1.63 0.13344659428309633
22.2 1.74 0.13127414864526263
22.2 1.85 0.1289785197155311
22.2 1.96 0.12708779331894973
22.2 2.07 0.1254895546539896
22.2 2.17 0.12372975381795753
22.2 2.28 0.12180271325270361
22.2 2.39 0.12008266360918342
22.2 2.5 0.11864297840624016
 
24.4 0.0 0.019607843137254898
24.4 0.11 0.039445109836972546
24.4 0.22 0.06797599446837926
24.4 0.33 0.1006982376434729
24.4 0.43 0.12955419712746105
24.4 0.54 0.14763838654577527
24.4 0.65 0.15401389313431327
24.4 0.76 0.15364510507703405
24.4 0.87 0.15220677514541128
24.4 0.98 0.15148259429105596
24.4 1.09 0.1501203724267102
24.4 1.2 0.1474387211928257
24.4 1.3 0.14462018117563225
24.4 1.41 0.14255991725989242
24.4 1.52 0.140632514046129
24.4 1.63 0.13817900752196435
24.4 1.74 0.13568200966718336
24.4 1.85 0.1337060655380934
24.4 1.96 0.13189308987288847
24.4 2.07 0.12979529249571808
24.4 2.17 0.1277154029181505
24.4 2.28 0.12600711062356346
24.4 2.39 0.12439456164313475
24.4 2.5 0.12259774135896352
 
26.7 0.0 0.019607843137254898
26.7 0.11 0.04129457586633636
26.7 0.22 0.07312555306393978
26.7 0.33 0.10930669036983931
26.7 0.43 0.13967317818242742
26.7 0.54 0.15658802857905482
26.7 0.65 0.16089426946283855
26.7 0.76 0.1597801670817154
26.7 0.87 0.15878351163440524
26.7 0.98 0.15790840442890502
26.7 1.09 0.15550770401180058
26.7 1.2 0.1523404650796511
26.7 1.3 0.14992725254048214
26.7 1.41 0.14786106007552854
26.7 1.52 0.1451987701845631
26.7 1.63 0.14245657723582722
26.7 1.74 0.1403180128152113
26.7 1.85 0.13826575413437445
26.7 1.96 0.13588663202648507
26.7 2.07 0.1337048496869033
26.7 2.17 0.13190852035954861
26.7 2.28 0.1300064064435529
26.7 2.39 0.1279933699020069
26.7 2.5 0.126272950094826
 
28.9 0.0 0.019607843137254898
28.9 0.11 0.043123910894821774
28.9 0.22 0.07833236766635958
28.9 0.33 0.11790085202905401
28.9 0.43 0.1493465787453233
28.9 0.54 0.16468020787625667
28.9 0.65 0.16715518722902536
28.9 0.76 0.16586230669457
28.9 0.87 0.16519878547421313
28.9 0.98 0.16358699920186867
28.9 1.09 0.1603169860591851
28.9 1.2 0.15735126346374875
28.9 1.3 0.15513850424883413
28.9 1.41 0.15239355268128896
28.9 1.52 0.1493465926891836
28.9 1.63 0.1469568063850931
28.9 1.74 0.14470012476205274
28.9 1.85 0.14207989735177434
28.9 1.96 0.13975309535473895
28.9 2.07 0.13778719360098085
28.9 2.17 0.13560988557886652
28.9 2.28 0.13347357084054745
28.9 2.39 0.13169542171107454
28.9 2.5 0.12986685985507748
 
31.1 0.0 0.019607843137254898
31.1 0.11 0.04500558937325963
31.1 0.22 0.08369148835260558
31.1 0.33 0.1265375029503828
31.1 0.43 0.15856503586050436
31.1 0.54 0.17197711117413877
31.1 0.65 0.1730045563443278
31.1 0.76 0.17195029189354125
31.1 0.87 0.17122796536023094
31.1 0.98 0.16856681162225776
31.1 1.09 0.165004137670897
31.1 1.2 0.16244331942036516
31.1 1.3 0.15976734518286473
31.1 1.41 0.15642557177804736
31.1 1.52 0.1536736270545527
31.1 1.63 0.1512547982337873
31.1 1.74 0.14841069467269088
31.1 1.85 0.14586547553099033
31.1 1.96 0.14370887985104913
31.1 2.07 0.14129252794406036
31.1 2.17 0.13903070280922833
31.1 2.28 0.13711220652775324
31.1 2.39 0.13502978852726472
31.1 2.5 0.13303757992556112
 
33.3 0.0 0.019607843137254898
33.3 0.11 0.04687972880569763
33.3 0.22 0.08910940198612156
33.3 0.33 0.1350951080057456
33.3 0.43 0.16726021202447322
33.3 0.54 0.1786148152203417
33.3 0.65 0.1786696363224434
33.3 0.76 0.17797228618303954
33.3 0.87 0.17668656437793376
33.3 0.98 0.17312487954400127
33.3 1.09 0.16981638050990416
33.3 1.2 0.1672318925252758
33.3 1.3 0.16379661801774953
33.3 1.41 0.16053037005150245
33.3 1.52 0.15794049987339712
33.3 1.63 0.15493008378802428
33.3 1.74 0.15207627110517305
33.3 1.85 0.14972364083293888
33.3 1.96 0.14710081820491416
33.3 2.07 0.14466259078222207
33.3 2.17 0.1425658747417726
33.3 2.28 0.14026790542267906
33.3 2.39 0.13818588683438782
33.3 2.5 0.13630918370407816
 
35.5 0.0 0.019607843137254898
35.5 0.11 0.04879747527419496
35.5 0.22 0.09465637658809516
35.5 0.33 0.14361359542375735
35.5 0.43 0.17544335052014015
35.5 0.54 0.1846970036141533
35.5 0.65 0.18425256006497698
35.5 0.76 0.18380254296447293
35.5 0.87 0.18157692709100948
35.5 0.98 0.17757378103533722
35.5 1.09 0.17463838851389785
35.5 1.2 0.17146351499191076
35.5 1.3 0.16766298700952267
35.5 1.41 0.16474071475879745
35.5 1.52 0.1616773094242277
35.5 1.63 0.1584436807314775
35.5 1.74 0.1558628533986443
35.5 1.85 0.15306995269589818
35.5 1.96 0.15038768919391554
35.5 2.07 0.14810974098391602
35.5 2.17 0.14561403049431296
35.5 2.28 0.14339722732322388
35.5 2.39 0.14133144949181534
35.5 2.5 0.1391501657367489
 
37.7 0.0 0.019607843137254898
37.7 0.11 0.05071998501903629
37.7 0.22 0.10026040328428114
37.7 0.33 0.15199206328918488
37.7 0.43 0.1830936086592095
37.7 0.54 0.19037919389669797
37.7 0.65 0.18981810413062766
37.7 0.76 0.18928869772000745
37.7 0.87 0.18603340169100044
37.7 0.98 0.18210479671507054
37.7 1.09 0.1791834313377496
37.7 1.2 0.17526337874170236
37.7 1.3 0.1716776484258671
37.7 1.41 0.1686336355461675
37.7 1.52 0.1650693029021239
37.7 1.63 0.16213221858985197
37.7 1.74 0.15923536180130465
37.7 1.85 0.15624655014878394
37.7 1.96 0.15377449257906192
37.7 2.07 0.15109541982775873
37.7 2.17 0.14868806861830353
37.7 2.28 0.1464445258758494
37.7 2.39 0.1441066054104368
37.7 2.5 0.1421077685792159
 
39.9 0.0 0.019607843137254898
39.9 0.11 0.05267634840422021
39.9 0.22 0.10596941107169564
