a b c
15.6 2.5 0.08965022738303914
 
17.8 0.0 0.019607843137254898
17.8 0.11 0.02726611719150386
17.8 0.22 0.036407242327178874
17.8 0.33 0.04673951510028212
17.8 0.43 0.05778190745791905
17.8 0.54 0.06890853113983046
17.8 0.65 0.07942653279291016
17.8 0.76 0.08867894771294962
17.8 0.87 0.09614783020180478
17.8 0.98 0.10153824792803966
17.8 1.09 0.10481763972278374
17.8 1.2 0.10620850789155806
17.8 1.3 0.10612880501823327
17.8 1.41 0.10509469216646683
17.8 1.52 0.10361567170536118
17.8 1.63 0.10209861289359917
17.8 1.74 0.10079095133807503
17.8 1.85 0.09976786659897859
17.8 1.96 0.09896477474680604
17.8 2.07 0.09823812830566996
17.8 2.17 0.0974365849675178
17.8 2.28 0.09645885910864095
17.8 2.39 0.09528309788296008
17.8 2.5 0.0939643867055487
 
20.0 0.0 0.019607843137254898
20.0 0.11 0.028209243771920606
20.0 0.22 0.0386818179343001
20.0 0.33 0.050647157574892285
20.0 0.43 0.06344027670183522
20.0 0.54 0.07618370847232127
20.0 0.65 0.08792299518797078
20.0 0.76 0.09779995713222178
20.0 0.87 0.10521825100492345
20.0 0.98 0.10995759316840954
20.0 1.09 0.1122023335374263
20.0 1.2 0.11246899863875191
20.0 1.3 0.11146037666481907
20.0 1.41 0.10988341608854366
20.0 1.52 0.10829000557001855
20.0 1.63 0.10697971520350287
20.0 1.74 0.10599517817329926
20.0 1.85 0.10519165324539033
20.0 1.96 0.10435428258065038
20.0 2.07 0.10331186859547065
20.0 2.17 0.1020078237396299
20.0 2.28 0.10050932456924794
20.0 2.39 0.0989620031973104
20.0 2.5 0.0975168389389882
 
22.2 0.0 0.019607843137254898
22.2 0.11 0.029130290259039085
22.2 0.22 0.04094989351063515
22.2 0.33 0.05457997160378725
22.2 0.43 0.06912957483735443
22.2 0.54 0.08341853086019527
22.2 0.65 0.09619621677086153
22.2 0.76 0.10641158931319687
22.2 0.87 0.11345519635865098
22.2 0.98 0.11729062282572449
22.2 1.09 0.11842538674904314
22.2 1.2 0.11772741677512803
22.2 1.3 0.11614863004538196
22.2 1.41 0.11446087643498835
22.2 1.52 0.11308356212109659
22.2 1.63 0.11206524952253209
22.2 1.74 0.1111999149813722
22.2 1.85 0.11021115655178518
22.2 1.96 0.10892188061210742
22.2 2.07 0.10733626802418833
22.2 2.17 0.10561137586092947
22.2 2.28 0.10395606807448013
22.2 2.39 0.1025180215604606
22.2 2.5 0.10131615107923717
 
24.4 0.0 0.019607843137254898
24.4 0.11 0.02999599465367904
24.4 0.22 0.04315895577559722
24.4 0.33 0.058489086513805306
24.4 0.43 0.07482416415110446
24.4 0.54 0.09061990853435199
24.4 0.65 0.1042862626881759
24.4 0.76 0.11459209051153756
24.4 0.87 0.12099451915466142
24.4 0.98 0.12375836769717005
24.4 1.09 0.12381101113855501
24.4 1.2 0.12238205574049582
24.4 1.3 0.12057615954340271
24.4 1.41 0.11905804543691426
24.4 1.52 0.11796201993136965
24.4 1.63 0.11703967190375514
24.4 1.74 0.11593725723127198
24.4 1.85 0.11445197277778761
24.4 1.96 0.11263599367067491
24.4 2.07 0.11073190460917304
24.4 2.17 0.1089976755348393
24.4 2.28 0.10755429443540733
24.4 2.39 0.10633464415789659
24.4 2.5 0.10516122426854543
 
26.7 0.0 0.019607843137254898
26.7 0.11 0.03089220872361363
26.7 0.22 0.045458975386046506
26.7 0.33 0.06256265537508236
26.7 0.43 0.0807123492758156
26.7 0.54 0.09793112428909273
26.7 0.65 0.11225888675861524
26.7 0.76 0.12233307714554847
26.7 0.87 0.12780404582713023
26.7 0.98 0.12938419471432228
26.7 1.09 0.12849478502440165
26.7 1.2 0.12666370503799568
26.7 1.3 0.12496416903685283
26.7 1.41 0.12375067970990591
26.7 1.52 0.12278460549018382
26.7 1.63 0.12161734553366775
26.7 1.74 0.1199824490938654
26.7 1.85 0.1179638588489723
26.7 1.96 0.11588958338220494
26.7 2.07 0.11407124612955008
26.7 2.17 0.11259421877461263
26.7 2.28 0.11130286954164251
26.7 2.39 0.10995764311714862
26.7 2.5 0.10842798881148204
 
28.9 0.0 0.019607843137254898
28.9 0.11 0.0318187071628826
28.9 0.22 0.047839351197082707
28.9 0.33 0.06675763306266119
28.9 0.43 0.08669534774072368
28.9 0.54 0.10518834427402064
28.9 0.65 0.11990939372173419
28.9 0.76 0.12945757229746738
28.9 0.87 0.1338273196805251
28.9 0.98 0.1342977960147471
28.9 1.09 0.1327662614356733
28.9 1.2 0.13088749301954708
28.9 1.3 0.1294697830913032
28.9 1.41 0.12843266562396582
28.9 1.52 0.1272526123916509
28.9 1.63 0.12554422695819306
28.9 1.74 0.12336909869533831
28.9 1.85 0.1211266474351502
28.9 1.96 0.11919346502622709
28.9 2.07 0.1176384436312903
28.9 2.17 0.11623014848526354
28.9 2.28 0.11468815730859067
28.9 2.39 0.11293240965039651
28.9 2.5 0.11112286924047901
 
31.1 0.0 0.019607843137254898
31.1 0.11 0.032704402234973166
31.1 0.22 0.05018201210853705
31.1 0.33 0.07093480777388213
31.1 0.43 0.09263961602319744
31.1 0.54 0.11228980757352412
31.1 0.65 0.12719815010842114
31.1 0.76 0.13602073910508225
31.1 0.87 0.13923603984830638
31.1 0.98 0.1387577150750389
31.1 1.09 0.13687345994779002
31.1 1.2 0.13515496989022008
31.1 1.3 0.13397215130970205
31.1 1.41 0.1328336427736364
31.1 1.52 0.13116679670815243
31.1 1.63 0.1289025899055959
31.1 1.74 0.12647465915387943
31.1 1.85 0.1243644563009799
31.1 1.96 0.1226803425036976
31.1 2.07 0.12114284755930477
31.1 2.17 0.11942561825837572
31.1 2.28 0.11748048898541179
31.1 2.39 0.11554199888360651
31.1 2.5 0.11385403869261917
 
33.3 0.0 0.019607843137254898
33.3 0.11 0.03357824784685078
33.3 0.22 0.05254353276510981
33.3 0.33 0.07518098685121614
33.3 0.43 0.09865038846445165
33.3 0.54 0.11933503091034398
33.3 0.65 0.13420074751917518
33.3 0.76 0.14208659105148352
33.3 0.87 0.14411340736956146
33.3 0.98 0.14287183934911546
33.3 1.09 0.14089764480311853
33.3 1.2 0.13944339387778898
33.3 1.3 0.13833666007354387
33.3 1.41 0.13682552509821264
33.3 1.52 0.1345706860684205
33.3 1.63 0.13195400351211706
33.3 1.74 0.1296017316872279
33.3 1.85 0.12774633717527853
33.3 1.96 0.12609113637211364
33.3 2.07 0.12423235541020528
33.3 2.17 0.12211456888829525
33.3 2.28 0.12003618431602822
33.3 2.39 0.1182678851067061
33.3 2.5 0.11675728721458109
 
35.5 0.0 0.019607843137254898
35.5 0.11 0.03449416088785815
35.5 0.22 0.05500392595044218
35.5 0.33 0.07956575572820836
35.5 0.43 0.10474715364570165
35.5 0.54 0.12627231353100435
35.5 0.65 0.14082415581681165
35.5 0.76 0.1475989169439014
35.5 0.87 0.14850766299638837
35.5 0.98 0.14677926418631979
35.5 1.09 0.1449512183861928
35.5 1.2 0.1437278832217927
35.5 1.3 0.14242835510813653
35.5 1.41 0.14033786533673323
35.5 1.52 0.13760297348611555
35.5 1.63 0.1349632367721242
35.5 1.74 0.1328746575440009
35.5 1.85 0.13109782319312313
35.5 1.96 0.12913067640830628
35.5 2.07 0.12685470391159256
35.5 2.17 0.12461622646695757
35.5 2.28 0.1227345101739896
35.5 2.39 0.12111751448249536
35.5 2.5 0.119439344078395
 
37.7 0.0 0.019607843137254898
37.7 0.11 0.03540727441527161
37.7 0.22 0.057483530903938415
37.7 0.33 0.0839777512892993
37.7 0.43 0.1107989909158106
37.7 0.54 0.1329851043797421
37.7 0.65 0.1470211796452865
37.7 0.76 0.15262637788738478
37.7 0.87 0.15258760730107454
37.7 0.98 0.150636818378323
37.7 1.09 0.14904572405666144
37.7 1.2 0.14786312029833212
37.7 1.3 0.1461136495601989
37.7 1.41 0.1434434029107547
37.7 1.52 0.14051996754010318
37.7 1.63 0.13810205246149143
37.7 1.74 0.1361650096383261
37.7 1.85 0.1341309765090813
37.7 1.96 0.13173111855037015
37.7 2.07 0.12930864481489562
37.7 2.17 0.1272664980643775
37.7 2.28 0.12552313016964295
37.7 2.39 0.12370057697305631
37.7 2.5 0.12168971771947273
 
39.9 0.0 0.019607843137254898
39.9 0.11 0.036287244410492046
39.9 0.22 0.0599446730202627
39.9 0.33 0.08839746695743245
39.9 0.43 0.1168188157611101
39.9 0.54 0.13951943100621642
39.9 0.65 0.15286779489225608
39.9 0.76 0.15727198370162584
39.9 0.87 0.1564515994694159
39.9 0.98 0.15446942266233846
39.9 1.09 0.1530990466179031
39.9 1.2 0.15174013698642122
39.9 1.3 0.14941281772088794
39.9 1.41 0.1463321751862407
39.9 1.52 0.14349352172749377
39.9 1.63 0.14130309300606
39.9 1.74 0.13923194425218888
39.9 1.85 0.13676592142440588
39.9 1.96 0.13414066403713046
39.9 2.07 0.13188026573989722
39.9 2.17 0.1299942075019536
39.9 2.28 0.1280535269576198
39.9 2.39 0.12590004769799037
39.9 2.5 0.12384031796991576
 
42.1 0.0 0.019607843137254898
42.1 0.11 0.037187824497925244
42.1 0.22 0.062472604455206054
42.1 0.33 0.09291815637896003
42.1 0.43 0.12287124590012763
42.1 0.54 0.14588692912010653
42.1 0.65 0.15834746162762137
42.1 0.76 0.161545190512524
42.1 0.87 0.16014793062099106
42.1 0.98 0.15830566245852742
42.1 1.09 0.15706849616858617
42.1 1.2 0.1553126482151457
42.1 1.3 0.15239464959827
42.1 1.41 0.1491547588352492
42.1 1.52 0.14655885293123927
42.1 1.63 0.14441094937398263
42.1 1.74 0.14195353643552192
42.1 1.85 0.13914770049572492
42.1 1.96 0.13661107081330273
42.1 2.07 0.13455129922246245
42.1 2.17 0.13251548864454893
