a b
3 2.91
5 5.09
7 7.81
9 10.71
11 13.78
13 17.01
15 20.37
17 23.84
19 27.42
21 31.1
23 34.88
25 38.75
27 42.69
29 46.71
31 50.81
33 54.98
35 59.21
37 63.51
39 67.86
41 72.27
43 76.75
45 81.27
47 85.85
49 90.49
51 95.17
53 99.9
55 104.68
57 109.5
59 114.37
61 119.28
63 124.22
65 129.22
67 134.25
69 139.33
71 144.43
