a b
3 2.75
5 4.46
7 7.05
9 9.69
11 12.47
13 15.41
15 18.46
17 21.62
19 24.86
21 28.19
23 31.6
25 35.08
27 38.64
29 42.29
31 46.0
33 49.78
35 53.62
37 57.51
39 61.45
41 65.45
43 69.47
45 73.56
47 77.7
49 81.86
51 86.1
53 90.38
55 94.67
57 99.04
59 103.47
61 107.89
63 112.34
65 116.85
67 121.41
69 126.01
71 130.58
