a b
3 2.72
5 5.19
7 5.7
9 7.16
11 12.95
13 16.29
15 18.87
17 23.31
19 27.05
21 31.25
23 35.85
25 40.53
27 45.24
29 50.04
31 55.01
33 60.4
35 65.97
37 71.5
39 76.95
41 82.51
43 88.49
45 94.88
47 101.41
49 107.71
51 113.93
53 120.2
55 126.76
57 133.75
59 140.97
61 148.21
63 155.44
65 162.57
67 169.65
69 176.85
71 184.37
