a b
3 3.52
5 6.55
7 9.95
9 13.6
11 17.45
13 21.48
15 25.66
17 29.98
19 34.42
21 38.99
23 43.66
25 48.47
27 53.36
29 58.29
31 63.35
33 68.54
35 73.75
37 79.08
39 84.51
41 89.95
43 95.48
45 101.11
47 106.83
49 112.52
51 118.29
53 124.14
55 130.06
57 136.07
59 142.05
61 148.07
63 154.16
65 160.31
67 166.54
69 172.83
71 179.19
