a b
3 3.17
5 5.8
7 8.83
9 12.07
11 15.5
13 19.08
15 22.82
17 26.68
19 30.67
21 34.77
23 38.98
25 43.29
27 47.68
29 52.17
31 56.71
33 61.36
35 66.04
37 70.82
39 75.65
41 80.54
43 85.51
45 90.53
47 95.6
49 100.75
51 105.98
53 111.29
55 116.66
57 121.98
59 127.33
61 132.74
63 138.22
65 143.75
67 149.35
69 155.0
71 160.71
